,Song,Movie,Singers,Musicians,Lyricists,Year,Lyrics
21,Tera Ban Jaunga,Kabir Singh,"Akhil Sachdeva, Tulsi Kumar",Akhil Sachdeva,Kumaar, ,"Yeh meri raahein, tere tak hain Tujhpe hi to mera haq hai Ishq mera tu be-shaq hai Tujhpe hi to mera haq hai Sath chhodunga na tere pichhe aaunga Chheen loonga ya Khuda se maang launga Tere naal taqdeeran likhwaunga main Main tera ban jaunga Main tera ban jaunga Sonh teri main kasam yehi khaunga Kitte vaadeyan nu oh main nibhaunga Tujhe har vaari apna banaunga Main tera ban jaunga Main tera ban jaunga Lakhan to juda main huyi teri khaatir Tu hi manzil dil tera musafir Lakhan to juda main huya teri khaatir Tu hi manzil dil tera musafir Rab nu bhula baitha tere karke Main ho gaya kaafir Tere liye main jahan se takraunga Sab kuchh kho ke tujhko hi paaunga Dil banke main dil dhadkaunga Main tera ban jaunga Main tera ban jaunga Sonh teri main kasam yehi khaunga Kitte vaadeyan nu oh main nibhaunga Tujhe har vaari apna banaunga Main tera ban jaunga Main tera ban jaunga Yeh meri raahein, tere tak hain Tujhpe hi to mera haq hai Ishq mera tu be-shaq hai Tujhpe hi to mera haq hai"
22,Mere Sohneya,Kabir Singh,"Sachet Tandon, Parampara Thakur",Sachet-Parampara,Irshad Kamil, ,Ban-than ke mutyara aaiyan Aaiyan patola ban ke Kanna de vich pipal patiyan Baanhi chooda khanke x (2) Mere sohneya sohneya ve Ve maahi mera kitthe naiyo dil lagna x (2) Maahi Jaavi chhod ke na Tere naal rehna ve Tu shingar mera Tu ae maahi gehna ve x (2) Jinna tu mera onni main teri Mere sohneya sohneya ve Ve maahi mera kitthe naiyo dil lagna x (2) Haye tera raasta ve Nange pair turrna ve Tu hai naal mere Taan main kyon ae darna ve x (2) Haye dono ne rona Dono ne hasna Sab nu ae dassna Mere sohneya sohneya ve Ve maahi mera kitthe naiyo dil lagna x (2) Ve maahi mera kitthe naiyo dil lagna Ve maahi mera kitthe naiyo dil lagna Ban-than ke mutyara aaiyan Aaiyan patola ban ke Kanna de vich pipal patiyan Baanhi chooda khanke x (2)
23,Babli,Kissebaaz,"Mamta Sharma, Rohan Pradhan",Rohan Rohan,Rohan Gokhale, ,"Ae mere Johnnie Walker Jaata hai tu kidhar Aaja idhar idhar pyala hata le Daaru bitter bitter Main hoon sweeter sweeter Aisi hot figure mujhko pata le Angrej chale gaye Sarkaar gir gayi Mujhko na koyi chhu saka Main Babli Babli Babli Babli Babli Babli bindaas Babli Babli Babli Babli Babli Babli bindaas Babli Babli Babli Babli Babli Babli bindaas Babli Babli Babli Babli Babli jhakaas Dekh dekh zara dekh nikhattu Kar liya hai tere naam ka tattoo All night teri side rahoongi Keh de, keh de mujhe keh de statue Statue! Statue statue statue statue Statue statue statue chal hat Angdayi toot gayi Nindiya bhi lutt gayi Mujhko na koyi chhu saka Main! Babli Babli Babli Babli Babli Babli bindaas Babli Babli Babli Babli Babli Babli bindaas Babli Babli Babli Babli Babli Babli bindaas Babli Babli Babli Babli Babli jhakaas x (2)"
24,Tujhe Kitna Chahne Lage,Kabir Singh,Arijit Singh,Mithoon,Mithoon, ,Dil ka dariya beh hi gaya Ishq ibaadat bann hi gaya Khudko mujhe tu saunp de Meri zarurat tu bann gaya Baat dil ki nazron ne ki Sach keh raha teri kasam Tere bin ab na lenge ik bhi dum Tujhe kitna chahne lage hum Tere sath ho jayenge khatam Tujhe kitna chahne lage hum Baat dil ki nazron ne ki Sach keh raha teri kasam Tere bin ab na lenge ik bhi dum Tujhe kitna chaahne lage hum Tere sath ho jayenge khatam Tujhe kitna chahne lage hum Tujhe kitna chahne lage hum Ho.. Ho.. Tujhe kitna chahne lage hum
25,Aila Re,Malaal,"Vishal Dadlani, Shreyas Puranik",Sanjay Leela Bhansali,Prashant Ingole, ,"Aila re, aila re, aila re Aila re ae, aila re ae Meri jawani pe tu hai deewani re Aila re ae, aila re ae Teri do aakhon ne di hai bayani re Aila re ae, aila re ae Gully kooche mein ghoom ke dekho Har dil mein dhoom ami tu Hum mataware re re re re x (2) Aila re ae, aila re ae Ae ae, ae ae Sun ae deewani tu badi munhmaani Tu kare nadaani tu re re re re x (2) Main to salami doon, sabko nizaami doon Koyi nishani tu re re re re x (2) Gully kooche mein ghoom ke dekho Har dil mein dhoom ami tu Hum mataware re re re re Aila re ae, aila re ae Meri jawani pe tu hai deewani re Aila re ae, aila re ae Teri do aakhon ne di hai bayani re Aila re ae, aila re ae Mana madh majha wasi tore waja Turono ko job karoon ding dong aaja Dil ch ami raja, rani ban aaja Hirdaya te devin karu na band darwaja Nako na, nako na Chedkhaani nako na Nako nako nako nako Meri na maani to kari shaitani To royegi rani tu re re re re x (2) Sehra hoon, paani hoon, main bhi tsunami hoon Gehri kahani hoon re re re re x (2) Gully kooche mein ghoom ke dekho Har dil mein dhoom ami tu Hum mataware re re re re Aila re ae Aila re ae, aila re ae Meri jawani pe tu hai deewani re Aila re ae, aila re ae Teri do aakhon ne di hai bayani re Aila re ae, aila re ae Gully kooche mein ghoom ke dekho Har dil mein dhoom ami tu Hum mataware re re re re Aila re ae, aila re ae x (4)"
26,Bekhayali,Kabir Singh,Sachet Tandon,Sachet-Parampara,Irshad Kamil, ,"Bekhayali mein bhi tera hi khayal aaye Kyun bichadna hai zaruri, yeh sawal aaye Teri nazdeekiyon ki khushi behisaab thi Hisse mein faasle bhi tere bemisaal aaye Main jo tumse door hoon Kyun door main rahun Tera gurur hoon Aa tu fasla mita Tu khwaab sa mila Kyun khwaab tod doon Bekhayali mein bhi tera hi khayal aaye Kyun judayi de gaya tu, yeh sawal aaye Thoda sa main khafa ho gaya apne aap se Thoda sa tujhpe bhi bewajah hi malaal aaye Hai yeh tadpan, hai yeh uljhan Kaise jee loon bina tere Meri ab sabse hai an-ban Bante kyun yeh khuda mere Jo log-baag hain, jungle ki aag hain Kyun aag mein jaloon Yeh nakaam pyar mein Khush hain yeh haar mein Inn jaisa kyun banun Raatein dengi bata Needon mein teri hi baat hai Bhoolun kaise tujhe Tu to khayalon mein sath hai Bekhayali mein bhi tera hi khayal aaye Kyun bichadna hai zaruri yeh sawal aaye Nazar ke aage har ik manzar Reit ki tarah bikhar raha hai Dard tumhara badan mein mere Zehar ki tarah utar raha hai x (2) Aa zmaane aazama le roothta nahi Faaslon se hausla yeh toot’ta nahi Na hai woh bewafa aur na main hoon bewafa Woh meri aadaton ki tarah chhoot’ta nahi"
27,Zinda,Bharat,Vishal Dadlani,"Julius Packiam, Ali Abbas Zafar, Vishal Dadlani",Ali Abbas Zafar, ,"Dil ke bhanwar mein hai dooba Mera safina, haan safina Ho duayein maine rab se ki Thaame mujhko yoon hi rehna Yoon hi rehna, rehna.. Zinda hoon main tujhmein Tujhmein rahunga zinda Tod ke sab zanjeerein Main azad parinda Khaak se bana hoon main Khaak hi ban jaunga Seene mein leke aag main Waqt se lad jaunga Khaak se bana hoon main Khaak hi ban jaunga Seene mein leke aag main Waqt se lad jaunga Yeh sher boodha zaroor ho gaya hai Lekin shikar karna nahi bhoola Zinda hoon main tujhmein Tujhmein rahunga zinda Tod ke sab zanjeerein Main azad parinda Zinda hoon main tujhmein Tujhmein rahunga zinda Tod ke sab zanjeerein Main azad parinda"
28,Vande Mataram,India’s Most Wanted,"Papon, Altamash Faridi",Amit Trivedi,Amitabh Bhattacharya, ,"Jooton ke pheete baandh kar Kandhon par baste laad kar Tukdi hum be-parwahon ki Chal padne ko taiyaar hai Katti hai apni neend se Zimmedaari se pyar hai Marne se na katraate hain Dar jaane se inkaar hai Vande Mataram, Vande Mataram Khaayi hai teri hifazat ki kasam Vande Mataram, Vande Mataram Dekhein kitna tere dushman hai dum Vande.. Vande Mataram"
29,Dil Royi Jaye,De De Pyaar De,Arijit Singh,Rochak Kohli,Kumaar, ,"Mere hisse mein tu nahi hai Yeh bhi jaanu kyon nahi hai x (2) Itna hi bas mujhko pata hai Main tera galat, tu nera sahi hai Tere bin yeh gham hai Kuchh saansein kam hain Ke tujhko paane se zyada Khoyi khoyi jaye Dil royi jaye, royi jaye, royi jaye Aankhon ke kinaare baitha royi jaye Dil royi jaye, royi jaye, royi jaye Yaadon ke sahare baitha royi jaye Tere bina zindagi to hai par Jeene se aitraaz hai Maane huye hain do dil lekin Takdeerein naraaz hain Kehta hai kahaani Ishq ka yeh paani Sab doobe saahil pe lekin Koyi koyi aaye Dil royi jaye, royi jaye, royi jaye Aankhon ke kinaare baitha royi jaye Dil royi jaye, royi jaye, royi jaye Yaadon ke sahare baitha royi jaye Dil royi jaye, royi jaye, royi jaye Dil royi jaye, royi jaye, royi jaye"
30,Mukhda Vekh Ke,De De Pyaar De,"Mika Singh, Dhvani Bhanushali",Manj Musik,Kumaar, ,Billo ni billo teri akh miniature Ho do sip lagge badh gaya temperature x (2) Nasha jeha mainu chadh gaya ni Ho dil da pata ni tera keho jeha hona Main taan mukhda vekh ke aaye haye Dil da pata ni tera keho jeha hona Main taan mukhda vekh ke mar gaya ni x (3) Waddiyan ni maar lafangeya ve udd udd ke Maare mujhe line ne hero saare Bollywood ke Meri hot kamar jo hildi ae Jo dekhe thandak mildi ae x (2) Rabb ji da kar thank Enna sohna munda tere pichhe pad gaya ni Ho dil da pata ni tera keho jeha hona Main taan mukhda vekh ke aaye haye Dil da pata ni tera keho jeha hona Main taan mukhda vekh ke mar gaya ni x (2) Ho Tera mukhda vekh ke mar gaya ni x (4) Roz raati phone mainu kare tring tring ve Sunneya ae kolon genda laike aaya ring ve x (2) Karni CS mainu kar gaya ni Kehnda! Dil da pata ni tera keho jeha hona Main taan mukhda vekh ke mar gaya ni x (2) Ho Tera mukhda vekh ke mar gaya ni x (4)
31,Aithey Aa,Bharat,"Vishal Dadlani, Shekhar Ravjiani, Akasa Singh, Neeti Mohan, Kamaal Khan",Meghdeep Bose,Irshad Kamil, ,Handpump nal baag maa Handpump nal baag maa More angna mein lagwaye Tu aithey paani na bharwaye Chhat tap ke aawangi Tainu phad ke jawangi Tujhpe nazar ab lock ho gayi meri Hadh ho gayi decency ki Gall ho gayi urgency ki Bohat huyi distance teri meri Kadi te closer aa Main tere heart nu touch kar laan Ke jattni pichhe nai hatni Tu ek din mera hi hona Oh aithey aa Oh aithey aa Kyon har kahin Toofan hai macheya Kyon aafat kabhi Kabhi aag ka dariya tu Pahli dafa Yeh style tera jaana Tha nahi pata Yeh time bhi hai aana Kahe tu closer aa Yeh iss pal ho hi nahi sakda Ke jattni pichhe nai hatni Tu ek din mera hi hona Oh aithey aa Oh aithey aa Oh aithey aa Handpump nal baag maa Handpump nal baag maa More angna mein lagwaye Tu aithey paani na bharwaye Oh aithey aa
32,Chale Aana,De De Pyaar De,Armaan Malik,Armaan Malik,Kunaal Vermaa, ,"Koyi kisi ke bina nahi marta Aadat ki baat hai Tumhari bhi chhoot jayegi Meri bhi chhoot jayegi Judaa hum ho gaye maana Magar yeh jaan lo jaana x (2) Kabhi main yaad aaun to Chale aana, chale aana Tumhein main bhool jaunga Yeh baatein dil mein na lana Kabhi main yaad aaun to Chale aana, chale aana Tha kaun mera, ek tu hi tha Saanson se zyada jo zaruri tha Tere liye main kuchh nahi lekin Mere liye tu mera sab kuchh tha Nahi jaana bhula karke Yeh baatein tum hi kehte the Rahi khushiyaan nahi meri Ke tum bhi waqt jaise the Yahin tak tha safar apna Tumhein hai laut kar jaana Kabhi main yaad aaun to Chale aana, chale aana Na ra, na ra hmm.. Chale aana, chale aana"
33,Chashni,Bharat,"Vishal & Shekhar, Abhijeet Srivastava",Vishal & Shekhar,Irshad Kamil, ,"Mithi mithi haan.. Zubaan hai feeki shaam se Huyi na tose baat bhi Bina main tere be-maza Hua hoon dekho aaj bhi Karun main yeh ghuzarishein Mithi mithi Mohabbaton ka mol de Mithi mithi Neendon mein meri khwaab ka Mithi mithi Zara sa meetha ghol de Tu ban ja, ban ja tu meri Tu ban ja, ban ja tu meri Tu ban ja, ban ja, ban ja Ban ja tu meri ishqe di chashni Ho mithi mithi chashni Main na maangunga dhoop dheemi dheemi Main na maangu chandni Mere jeene mein tujhse ho ishqe di chashni Ho mithi mithi chashni Mithi mithi, mithi mithi Mere khayalon mein jo tu ho To baatein hoon main achchi achchi karta Ho dekhoon subah subah jo tujhe To saara din achcha hai ghuzarta Yeh kaise teri aarzu Yeh kaise teri khwahishein Tujhi se dekho main karoon Teri hi farmaishein Tu ban ja, ban ja tu meri Tu ban ja, ban ja, ban ja Ban ja tu meri ishqe di chashni Ho mithi mithi chashni Mithi mithi Ho mithi mithi chashni"
34,The Hook Up Song,Student Of The Year 2,"Neha Kakkar, Shekhar Ravjiani",Vishal and Shekhar,Kumaar, ,"Ho aankh meri 100-100 baari 200 baari lad lad jaave Ho jise dekh dil mera Pichhe pichhe pad pad jaave Haaye din mein yeh tere ghar Kahin aur ghuzre yeh raatein Ho kar na jo dooji dafa Pehli baar kar kar jaave Ho matlab ke samajhe ishaare yeh saare Yeh jo nazron mein apni utaare nazaare Woh jo subah tak na utre Har raat nasha chadhta hai Lele la le le le number mera Baad mein message mujhko kar dena Khud ko samajh ke lucky Mujhse hook up tu kar lena x (2) Ho kabhi isse, kabhi usse Dekhun aate jaate Kar loon mulakatein Main to zara vaadon ka kachcha hoon Jhootha hi achcha hoon Seedhi saadi mere dil ki saaf hain baatein Achchi lagi raatein To dede ek lamha tu baahon mein Anjaani raahon mein Khwaabon mein aana jaana Ho gaya hai ab purana Ae seedha tu milne aana Dil mera karta hai Lele la le le le number mera Baad mein message mujhko kar dena Khud ko samajh ke lucky Mujhse hook up tu kar lena x (2) 200 baari lad lad jaave Ho jise dekh dil mera Pichhe pichhe pad pad jaave Haaye din mein yeh tere ghar Kahin aur ghuzre yeh raatein Ho kar na jo dooji dafa Pehli baar kar kar jaave Ho matlab ke samajhe ishaare yeh saare Yeh jo nazron mein apni utaare nazaare Woh jo subah tak na utre Har raat nasha chadhta hai Lele la le le le number mera Baad mein message mujhko kar dena Khud ko samajh ke lucky Mujhse hook up tu kar lena x (2)"
35,Main Bhi Nahin Soya,Student Of The Year 2 (SOTY 2),Arijit Singh,Vishal and Shekhar,Anvita Dutt, ,Chanda chakoreya di Gallan bathereyan di Assan kisse kas lai si Kole baithe hans lai si Aivein tainu chumm kise ki Kosi kosi loyi re Main bhi nahin soya Tu bhi nahin soyi re x (3) Main bhi nahin soya Tu bhi nahin soyi soyi soyi re Main bhi nahin soya Tu bhi nahin soyi re Aise dheere dheere se Saanson mein kya chubhta hai bata Khaali khaali seena hai Phir itna kyun dukhta hai bata Qismat ne khenchi re Kaisi lakeerein re Sab mera chheen ke re Chhupta hai rabb kyun yeh Aisa bhi kya khel kisi se Khelta hai koyi re Main bhi nahin soya Tu bhi nahin soyi re x (3) Main bhi nahin soya Tu bhi nahin soyi soyi soyi re Main bhi nahin soya Tu bhi nahin soyi re Eh ki hoya ki kariye Pheeki pheeki baatein saariyan Tu hi bol ki kariye Baasi baasi umran saariyan Badli ghaneriyan ve Raatein andheriyan ve Seh bhi leta yeh judayi Kaise seh loon tanhayi Tere jhoothe ishq mein maine Yaariyan bhi khoyin re Main bhi nahin soya Tu bhi nahin soyi re x (3) Main bhi nahin soya Tu bhi nahin soyi soyi soyi re Main bhi nahin soya Tu bhi nahin soyi re
36,Hauli Hauli,De De Pyaar De,"Garry Sandhu, Neha Kakkar, Mellow D",Tanishk Bagchi,"Tanishk Bagchi, Garry Sandhu, Mellow D", ,"I’m a bad girl Hoon main thodi naughty Mere bina feeki feeki har party Sharmana seekha maine na zara bhi Utto ajj thodi pee li ae Bacardi Ni main aayi teri liye dekh saj-dhaj ke Thakna ni ajj main taan nach nach ke Mundeya tu rehna zara bach bach ke Ni mere thumke taan fire lagave Hauli hauli, hauli hauli Hauli hauli gidhe vich nach patlo ni Tera lak na maroda khaa jaave Hauli hauli gidhe vich nach patlo ni Tera lak na maroda khaa jaave Hauli hauli gidhe vich nach patlo ni Tera lak na maroda khaa Yeah baby! Jadd lakk hilave ni tu up-down baby Jaan kaddi jaye haye meri baby Akhiyon se kare yes-no may be Par mujhe pata dil tu degi Ho morni ke jaise tu club vich nachdi Chah ke vi tujhse nazar nahi hat’ti Red suit naal jadd paave red chudiyaan Mundeya di jaan ni tu suli utte tangdi Ni main aayi teri liye dekh saj-dhaj ke Thakna ni ajj main taan nach nach ke Mundeya tu rehna zara bach bach ke Ni mere thumke taan fire lagave Hauli hauli, hauli hauli Hauli hauli gidhe vich nach patlo ni Tera lak na maroda khaa jaave Hauli hauli gidhe vich nach patlo ni Tera lak na maroda khaa jaave Hauli hauli gidhe vich nach patlo ni Tera lak na maroda khaa Yeah baby! Yeah.. I’m a bad girl Hoon main thodi naughty Mere bina feeki feeki har party Sharmana seekha maine na zara bhi Utto ajj thodi pee li ae Bacardi Ni main aayi teri liye dekh saj-dhaj ke Thakna ni ajj main taan nach nach ke Mundeya tu rehna zara bach bach ke Ni mere thumke taan fire lagave Hauli hauli, hauli hauli Hauli hauli gidhe vich nach patlo ni Tera lak na maroda khaa jaave Hauli hauli gidhe vich nach patlo ni Tera lak na maroda khaa jaave Hauli hauli gidhe vich nach patlo ni Tera lak na maroda khaa Yeah baby!"
37,Fakira,Student Of The Year 2,"Sanam Puri, Neeti Mohan",Vishal and Shekhar,Anvita Dutt, ,Be-sir pair ki baatein kar raha hoon Ghar hokar bhi beghar phir raha hoon x (2) Taare ginn ginn din ko raat Raat ko din kar rahi hoon Tu puchh nahio haal fakira da Tu puchh nahio haal fakira da Mileya je maahi mera mainu mileya Shukar manawan taqdeeran da x (2) Baithe baithe main yeh sochun Tu sang mein kya ho to Mil ke batein hongi do-do Umra yoon hi kaatein hum do Subah subah main phir jaagun Paas mein soyi ho tu Kaanon mein gaa kar kuchh to Main roz jaga doon tujhko Sapne bunn-bunn dhun ko raag Raag ko dhun kar rahi hoon Tu puchh nahio haal fakira da Tu puchh nahio haal fakira da Mileya je maahi mera mainu mileya Shukar manawan taqdeeran da x (2) Teri galiyan aise naapun Aur pukarun tujhko Kahein awara mujhko Badnaam hua hoon ab to Tere dar pe roz hi aake Doongi dastak sunn to Chaahe na bhi karoge tum to Ummeed rahegi mujhko Jaane kaise sheh se maut Maut sheh se ho raha hoon Tu puchh nahio haal fakira da Tu puchh nahio haal fakira da Mileya je maahi mera mainu mileya Shukar manawan taqdeeran da x (2)
38,Ali Ali,-,"B Praak, Arko",Arko,"Arko, Adeip Singh", ,"Ali.. Ali.. Ho Ali Ali Ali Ho Ali Ali Ali Allah maalik tu, maalik tu De deedar dede Ho Ali mera wali Allah maalik tu, maalik tu De deedar dede Jaagi re shohratein, manzilein Sab hain mitti tere dar tale Koyi sab kuchh mita ke mite Koyi khud ko jala kar jale Yeh fizool nahi hai Jo kehte hain maalik Allah hai Ho Ali Ali Ali Allah maalik tu, maalik tu De deedar dede Ho Ali mera wali Allah maalik tu, maalik tu De deedar dede Ali Ali Ali Ali.. Jahaan mein woh hi tanha hai Jo tujhse bichhda hai Yakeenan tu rehnuma Tu raasta sabka hai Yeh fizool nahi hai Jo kehte hain maalik Allah hai Ho Ali Ali Ali Allah maalik tu, maalik tu De deedar dede Ho Ali mera wali Allah maalik tu, maalik tu De deedar dede Marhaba apni marzi se hum Unki aaghosh mein rehte hain Bakhuda ab to sab log bhi Humein malang kehte hain Yeh fizool nahi hai Jo kehte hain maalik Allah hai Ho Ali Ali Ali Allah maalik tu, maalik tu De deedar dede Ho Ali mera wali Allah maalik tu, maalik tu De deedar dede Ho Ali Ali Ali Allah maalik tu, maalik tu De deedar dede x (2)"
39,Slow Motion,Bharat,"Vishal-Shekhar, Nakash Aziz, Shreya Ghoshal",Meghdeep Bose,Irshad Kamil, ,Aaj ki shaam lage picture ka scene koyi Picture ka scene koyi Main hero jaisa aur tu heroine koyi Tu heroine koyi Story kahan kahan se Oh ghoom ghaam ke Aa gayi motion mein Aaja doob jaaun teri aankhon ke ocean mein Slow motion mein Aaja doob jaaun teri aankhon ke ocean mein Slow motion mein Ring leke bade waali ek din Tujhe maine kar lena hai win Ring leke bade waali ek din Tujhe maine kar lena hai win Phir shaadi hogi Babies honge badlenge hum napkin Ab ho jaane do ji meeting Phir hogi humari setting Phir mummy papa ko bolenge Karo humari wedding Hoga hill pe honeymoon Delay ismein nahi soon Din thode bache hain Relationship ke promotion mein Haan aaja aaja aaja Aaja doob jaaun teri aankhon ke ocean mein Slow motion mein Aaja doob jaaun teri aankhon ke ocean mein Slow motion mein
